documentId,matterId,file,versionCount,kind,kindLabel,isEmail,deepseekLabel,source,modelPrediction,modelConfidence,agreement,needsReview,reviewReason
hv-1005-00001-secretarys-certificate-holdings,hv-1005-00001,hv-1005-00001-secretarys-certificate-holdings.v1.txt,1,court_order,Court Order or Judgment,False,court_order,deepseek,closing_certificate,0.9766,False,True,confident model disagrees
hv-1032-00003-draft-selling-shareholder-certificate,hv-1032-00003,hv-1032-00003-draft-selling-shareholder-certificate.v1.txt,1,securities_offering_document,Securities Offering Document,False,securities_offering_document,deepseek,closing_certificate,0.9732,False,True,confident model disagrees
hv-1016-00003-letter-sc-to-ridgeline-opinions,hv-1016-00003,hv-1016-00003-letter-sc-to-ridgeline-opinions.v1.txt,1,correspondence,Correspondence,False,correspondence,deepseek,legal_opinion_letter,0.97,False,True,confident model disagrees
hv-1010-00002-opinion-reliance-letter-meridian-hale,hv-1010-00002,hv-1010-00002-opinion-reliance-letter-meridian-hale.v1.txt,1,regulatory_filing,Regulatory Filing or Government Submission,False,regulatory_filing,deepseek,legal_opinion_letter,0.9692,False,True,confident model disagrees
hv-1044-00004-suspension-notice-tsl-to-abs,hv-1044-00004,hv-1044-00004-suspension-notice-tsl-to-abs.v1.txt,1,regulatory_filing,Regulatory Filing or Government Submission,False,regulatory_filing,deepseek,securities_offering_document,0.9685,False,True,confident model disagrees
hv-1034-00001-clearpath-vendor-engagement-letter,hv-1034-00001,hv-1034-00001-clearpath-vendor-engagement-letter.v1.txt,1,legal_research_memorandum,Legal Research and Advice Memorandum,False,legal_research_memorandum,deepseek,engagement_letter,0.9683,False,True,confident model disagrees
hv-1012-00002-super-priority-credit-agreement,hv-1012-00002,hv-1012-00002-super-priority-credit-agreement.v1.txt,1,credit_or_financing_agreement,"Credit, Security or Financing Agreement",False,credit_or_financing_agreement,deepseek,closing_certificate,0.9677,False,True,confident model disagrees
hv-1014-00002-template-o1-advisory-opinion-letter-request,hv-1014-00002,hv-1014-00002-template-o1-advisory-opinion-letter-request.v1.txt,1,correspondence,Correspondence,False,correspondence,deepseek,legal_opinion_letter,0.9677,False,True,confident model disagrees
hv-1033-00002-negative-assurance-letter-10b5,hv-1033-00002,hv-1033-00002-negative-assurance-letter-10b5.v2.txt,2,legal_opinion_letter,Legal Opinion Letter,False,legal_opinion_letter,deepseek,securities_offering_document,0.9677,False,True,confident model disagrees
hv-1025-00001-legal-opinion-outline,hv-1025-00001,hv-1025-00001-legal-opinion-outline.v1.txt,1,securities_offering_document,Securities Offering Document,False,securities_offering_document,deepseek,legal_opinion_letter,0.9674,False,True,confident model disagrees
